month,actual,baseline_forecast,arima_forecast,arima_lower_80,arima_upper_80
2026-01-01,1346672.0,1377723.68,1276586.3658937688,1137495.2556604145,1415677.4761271232
2026-02-01,1222722.58,1286618.16,1275497.6571539673,1073731.0456003875,1477264.268707547
2026-03-01,1351215.0,1418602.58,1274558.2462953194,1021785.5226525045,1527330.9699381343
2026-04-01,1184804.9,1292804.49,1273747.659653472,975906.5410896759,1571588.7782172682
2026-05-01,1387922.94,1376307.1,1273048.2311788138,933966.3788700924,1612130.0834875354
2026-06-01,1208499.68,1308690.27,1272444.7174198802,894913.7485507019,1649975.6862890585
